row_id,food_category,food_department,food_family,store_sales(in millions),store_cost(in millions),unit_sales(in millions),promotion_name,sales_country,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at home(approx),avg. yearly_income,num_children_at_home,avg_cars_at home(approx).1,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
10393,Dairy,Dairy,Food,11.04,3.864,4,Price Winners,Mexico,S,M,3,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,0,1,Booker,2.76,13.8,11.8,1,1,16,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Sunday Paper, Radio, TV",147.18
10394,Cold Remedies,Health and Hygiene,Non-Consumable,8.76,2.8032,4,Shelf Emptiers,USA,M,F,4,High School Degree,Bronze,Manual,Y,1,$30K - $50K,2,1,Consolidated,2.19,11,9,0,0,26,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Street Handout,137.34
10395,Dairy,Dairy,Food,11.25,4.1625,3,Fantastic Discounts,USA,M,F,1,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,4,Carlson,3.75,19.3,16.2,0,0,30,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Radio,137.46
10396,Eggs,Eggs,Food,3.96,1.584,3,One Day Sale,Mexico,M,F,1,Bachelors Degree,Bronze,Management,N,3,$70K - $90K,0,3,Blue Medal,1.32,12.4,10.3,0,1,9,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Street Handout,146.72
10397,Candy,Snacks,Food,5.13,1.8981,3,Super Duper Savers,USA,S,F,1,Bachelors Degree,Bronze,Management,Y,1,$110K - $130K,0,1,Thresher,1.71,20.9,17.8,0,1,23,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Sunday Paper,69.65
10398,Jams and Jellies,Baking Goods,Food,3.6,1.188,4,Save-It Sale,USA,M,M,3,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,2,3,Super,0.9,17.4,14.3,0,1,26,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Daily Paper,81.79
10399,Meat,Deli,Food,7.11,2.4885,3,Save-It Sale,USA,M,F,5,Partial High School,Normal,Manual,N,0,$10K - $30K,5,0,Cutting Edge,2.37,12.9,11.8,0,1,13,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Daily Paper,81.79
10400,Breakfast Foods,Frozen Foods,Food,4.08,1.7952,3,Sales Days,USA,M,M,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,4,3,Golden,1.36,7.12,5.11,0,1,29,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Bulk Mail,116.74
10401,Dairy,Dairy,Food,15.92,6.0496,4,Free For All,USA,S,M,2,Partial College,Bronze,Professional,N,1,$90K - $110K,0,1,Carlson,3.98,14.8,12.8,0,0,30,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,"Sunday Paper, Radio",126.24
10402,Beer and Wine,Alcoholic Beverages,Drink,1.95,0.9165,3,High Roller Savings,USA,M,F,4,Partial High School,Normal,Manual,Y,0,$10K - $30K,0,0,Pearl,0.65,16.2,15.2,0,0,2,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Daily Paper,101.84
10403,Meat,Frozen Foods,Food,10.38,4.7748,3,You Save Days,USA,S,F,2,Bachelors Degree,Bronze,Management,N,3,$50K - $70K,0,3,Imagine,3.46,11,8,0,1,24,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Bulk Mail,131.81
10404,Candy,Snacks,Food,3.32,1.162,2,Dollar Days,USA,M,F,2,Partial College,Bronze,Professional,Y,3,$30K - $50K,2,3,Musial,1.66,8.49,6.48,1,0,19,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Daily Paper, Radio",138.81
10405,Candy,Snacks,Food,5.34,2.67,3,Savings Galore,USA,S,F,4,High School Degree,Bronze,Manual,Y,3,$30K - $50K,0,3,Atomic,1.78,13.9,10.8,0,0,20,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Street Handout,138.53
10406,Snack Foods,Snack Foods,Food,6.5,2.73,2,Best Savings,USA,S,F,4,Partial High School,Normal,Manual,Y,2,$10K - $30K,0,2,Fast,3.25,11.3,8.3,1,0,24,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,"Daily Paper, Radio, TV",53.82
10407,Vegetables,Produce,Food,14.32,4.296,4,Price Savers,USA,S,F,4,Bachelors Degree,Bronze,Management,Y,3,$50K - $70K,0,3,Tri-State,3.58,19.9,18.8,0,1,4,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,"Sunday Paper, Radio",80.29
10408,Dairy,Dairy,Food,4.4,1.54,2,One Day Sale,Mexico,M,F,4,Partial High School,Silver,Professional,Y,3,$110K - $130K,4,3,Carlson,2.2,17.1,15.1,0,0,7,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Street Handout,146.72
10409,Electrical,Household,Non-Consumable,7.56,2.646,4,Price Destroyers,Mexico,S,M,2,Graduate Degree,Bronze,Professional,Y,3,$70K - $90K,0,3,Cormorant,1.89,18,16,0,0,22,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,Cash Register Handout,148.62
10410,Paper Products,Household,Non-Consumable,7.12,2.4208,2,Savings Galore,USA,M,M,4,Bachelors Degree,Silver,Professional,N,2,$130K - $150K,4,2,Red Wing,3.56,15.6,14.6,1,0,20,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Sunday Paper, Radio",136.57
10411,Vegetables,Produce,Food,5.7,2.394,2,Two Day Sale,Mexico,S,F,3,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,0,2,Ebony,2.85,12,11,0,0,26,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Sunday Paper, Radio, TV",93.11
10412,Magazines,Periodicals,Non-Consumable,1.72,0.6192,2,Green Light Days,USA,M,M,4,Bachelors Degree,Silver,Professional,N,2,$130K - $150K,4,2,Dollar,0.86,19.1,18.1,1,0,7,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Street Handout,133.42
10413,Vegetables,Produce,Food,7.2,2.736,3,Wallet Savers,Mexico,M,M,0,Bachelors Degree,Bronze,Professional,Y,3,$70K - $90K,0,3,Hermanos,2.4,7.06,5.05,1,0,29,Supermarket,Orizaba,Veracruz,34791,26354,5062,3375,0,0,1,1,0,TV,62.12
10414,Baking Goods,Baking Goods,Food,4.17,1.5012,3,Big Promo,USA,S,M,2,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,3,CDR,1.39,8.7,7.69,0,0,8,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Sunday Paper,51.12
10415,Dairy,Dairy,Food,3.58,1.611,2,Best Savings,Mexico,S,M,3,Bachelors Degree,Golden,Professional,N,3,$130K - $150K,0,3,Even Better,1.79,8.89,6.89,0,0,7,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,Radio,53.29
10416,Kitchen Products,Household,Non-Consumable,1.56,0.6084,3,Sales Galore,USA,S,F,5,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,1,Cormorant,0.52,8.17,7.17,1,0,1,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,"Daily Paper, Radio, TV",145.41
10417,Baking Goods,Baking Goods,Food,7.38,2.583,3,Super Savers,Mexico,M,M,4,High School Degree,Golden,Skilled Manual,Y,3,$30K - $50K,4,3,BBB Best,2.46,6.76,3.76,1,1,3,Supermarket,Orizaba,Veracruz,34791,26354,5062,3375,0,0,1,1,0,TV,137.55
10418,Pizza,Frozen Foods,Food,2.5,1.025,2,Sales Galore,USA,S,M,3,Partial High School,Normal,Manual,N,1,$10K - $30K,0,1,Big Time,1.25,6.98,3.98,1,0,35,Small Grocery,Bellingham,WA,28206,22271,3561,2374,1,0,0,0,0,"Daily Paper, Radio",109.03
10419,Fruit,Produce,Food,3.48,1.566,2,Super Savers,Mexico,M,M,2,High School Degree,Bronze,Manual,N,3,$30K - $50K,2,3,Tell Tale,1.74,13.8,11.8,0,0,16,Supermarket,Orizaba,Veracruz,34791,26354,5062,3375,0,0,1,1,0,Street Handout,144.31
10420,Frozen Desserts,Frozen Foods,Food,5.8,1.856,2,Dollar Cutters,USA,S,F,4,Bachelors Degree,Golden,Management,Y,4,$50K - $70K,0,4,Carrington,2.9,12.5,10.5,0,1,11,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,TV,66.18
10421,Jams and Jellies,Baking Goods,Food,1.42,0.4402,1,Super Duper Savers,Mexico,S,M,0,Graduate Degree,Bronze,Management,Y,2,$90K - $110K,0,2,Landslide,1.42,7.95,4.94,1,0,31,Small Grocery,Guadalajara,Jalisco,24597,15012,5751,3834,1,0,0,0,0,TV,116.91
10422,Canned Clams,Canned Foods,Food,10.55,4.853,5,Save-It Sale,USA,M,F,5,Bachelors Degree,Golden,Professional,Y,3,$130K - $150K,5,3,Better,2.11,17.6,16.6,1,1,36,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Daily Paper,81.79
10423,Seafood,Seafood,Food,5.16,2.064,2,Free For All,USA,M,M,4,Partial High School,Normal,Manual,Y,1,$10K - $30K,4,1,Curlew,2.58,6.87,3.86,0,1,4,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,In-Store Coupon,109.06
10424,Paper Products,Household,Non-Consumable,9.96,4.0836,3,Shelf Emptiers,Mexico,M,F,2,High School Degree,Bronze,Manual,Y,1,$30K - $50K,2,1,High Quality,3.32,19.7,16.7,0,0,32,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Daily Paper, Radio",147.82
10425,Vegetables,Frozen Foods,Food,11.16,5.2452,3,Price Smashers,Canada,S,M,5,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,0,1,Golden,3.72,6.16,4.15,1,0,21,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Street Handout,95.45
10426,Cold Remedies,Health and Hygiene,Non-Consumable,4.65,1.581,3,Money Savers,USA,M,F,4,High School Degree,Golden,Skilled Manual,Y,2,$30K - $50K,4,2,Faux Products,1.55,9.49,7.48,1,0,23,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Cash Register Handout,53.01
10427,Breakfast Foods,Frozen Foods,Food,2.1,0.777,3,Dimes Off,Mexico,M,F,5,High School Degree,Golden,Professional,Y,3,$70K - $90K,5,3,Big Time,0.7,13.9,11.8,0,0,30,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Radio,115.25
10428,Baking Goods,Baking Goods,Food,8.49,3.0564,3,Big Time Savings,USA,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,3,Super,2.83,17.7,15.7,0,1,34,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Daily Paper,77.32
10429,Dairy,Dairy,Food,7.92,3.168,2,Money Savers,Mexico,M,M,1,Graduate Degree,Silver,Professional,Y,3,$110K - $130K,1,3,Carlson,3.96,11.9,9.89,1,0,29,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,TV,65.7
10430,Hygiene,Health and Hygiene,Non-Consumable,5.92,2.5456,4,Green Light Days,USA,M,M,3,Partial High School,Bronze,Skilled Manual,Y,1,$10K - $30K,3,1,Bird Call,1.48,14,11,0,0,34,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Street Handout,133.42
10431,Dairy,Dairy,Drink,1.83,0.6771,3,Dollar Cutters,Mexico,S,F,5,High School Degree,Silver,Manual,N,2,$30K - $50K,0,2,Gorilla,0.61,10.4,7.39,1,0,14,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,Radio,104.41
10432,Fruit,Produce,Food,2.61,0.9135,3,Price Smashers,Canada,M,M,4,Bachelors Degree,Golden,Professional,Y,4,$70K - $90K,4,4,Hermanos,0.87,17.5,14.5,1,1,21,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Street Handout,95.45
10433,Breakfast Foods,Frozen Foods,Food,6.39,2.2365,3,Double Your Savings,USA,M,F,0,High School Degree,Bronze,Manual,N,4,$30K - $50K,0,4,PigTail,2.13,11.2,9.19,1,0,7,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Radio,94.43
10434,Fruit,Canned Products,Food,8.4,2.52,3,Weekend Markdown,Mexico,S,F,2,Partial High School,Normal,Skilled Manual,N,2,$10K - $30K,0,2,Applause,2.8,6.96,3.96,1,1,2,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,TV,89.9
10435,Bathroom Products,Household,Non-Consumable,4.26,1.704,2,Weekend Markdown,USA,M,M,2,Bachelors Degree,Silver,Professional,Y,3,$70K - $90K,2,3,Denny,2.13,9.18,7.18,0,0,3,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Street Handout,53.37
10436,Snack Foods,Snack Foods,Food,2.55,1.02,5,Double Down Sale,USA,S,M,3,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,2,Fast,0.51,12.3,11.3,1,1,26,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Daily Paper, Radio",62.67
10437,Frozen Desserts,Frozen Foods,Food,3.66,1.7568,3,Big Time Discounts,USA,S,F,0,Partial College,Bronze,Professional,N,3,$50K - $70K,0,3,PigTail,1.22,12.6,10.6,0,1,23,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,In-Store Coupon,145.6
10438,Eggs,Eggs,Food,4.26,1.8318,3,Two Day Sale,USA,S,F,2,Bachelors Degree,Silver,Management,Y,2,$70K - $90K,0,2,Jumbo,1.42,21.7,19.7,0,1,4,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,"Daily Paper, Radio",112.52
10439,Canned Shrimp,Canned Foods,Food,6.51,2.9946,3,Double Down Sale,USA,M,F,2,High School Degree,Bronze,Skilled Manual,N,3,$30K - $50K,1,3,Bravo,2.17,10.8,7.8,0,0,29,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,TV,95.74
10440,Meat,Deli,Food,9.32,3.5416,4,Free For All,USA,S,F,5,Partial High School,Silver,Skilled Manual,N,1,$10K - $30K,0,1,Red Spade,2.33,19.1,16.1,0,0,22,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,Radio,140.9
10441,Meat,Deli,Food,8.91,4.2768,3,Sale Winners,USA,M,M,2,Bachelors Degree,Bronze,Professional,Y,3,$90K - $110K,2,3,American,2.97,12.3,10.3,1,0,33,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,In-Store Coupon,147.35
10442,Snack Foods,Snack Foods,Food,3.8,1.406,5,Sales Days,Mexico,M,F,4,Partial High School,Golden,Management,Y,3,$130K - $150K,3,3,Best Choice,0.76,10.4,7.39,1,1,22,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,"Daily Paper, Radio, TV",116.4
10443,Vegetables,Produce,Food,5.22,1.8792,2,Super Savers,Mexico,M,F,0,Partial High School,Bronze,Skilled Manual,N,2,$30K - $50K,0,2,Tri-State,2.61,17.6,15.6,1,0,32,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,"Daily Paper, Radio",101.61
10444,Vegetables,Produce,Food,2.82,0.9024,2,Price Destroyers,USA,S,M,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,1,Ebony,1.41,21.1,20.1,0,0,33,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Radio,112.49
10445,Pain Relievers,Health and Hygiene,Non-Consumable,10.8,3.348,3,Dollar Days,USA,S,F,5,High School Degree,Normal,Manual,N,4,$50K - $70K,0,4,Hilltop,3.6,8.77,7.77,1,0,5,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Daily Paper, Radio",138.81
10446,Bread,Baked Goods,Food,5.64,2.3688,2,Free For All,USA,M,F,5,Partial College,Golden,Clerical,Y,4,$30K - $50K,4,4,Great,2.82,6.44,5.44,0,1,18,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,In-Store Coupon,109.06
10447,Fruit,Produce,Food,14.72,5.5936,4,Dollar Cutters,USA,S,F,2,Partial High School,Bronze,Professional,N,3,$90K - $110K,0,3,High Top,3.68,11.8,9.8,1,0,11,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Sunday Paper, Radio",136.74
10448,Vegetables,Frozen Foods,Food,9.64,4.0488,4,Price Winners,USA,S,M,1,High School Degree,Bronze,Manual,N,1,$30K - $50K,0,1,Carrington,2.41,8.15,6.14,0,0,7,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,In-Store Coupon,94.63
10449,Paper Products,Household,Non-Consumable,3.44,1.6856,4,Price Savers,USA,S,M,0,Partial High School,Bronze,Manual,N,3,$50K - $70K,0,3,Sunset,0.86,8,7,0,0,29,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Cash Register Handout,128.2
10450,Frozen Desserts,Frozen Foods,Food,6.75,2.3625,3,One Day Sale,USA,M,F,4,Bachelors Degree,Bronze,Professional,Y,4,$70K - $90K,1,4,Big Time,2.25,18.4,17.3,1,0,28,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,"Daily Paper, Radio, TV",85.88
10451,Cold Remedies,Health and Hygiene,Non-Consumable,5.85,2.6325,3,Price Savers,Mexico,M,F,4,Partial High School,Silver,Professional,Y,3,$110K - $130K,4,3,Consolidated,1.95,15.5,12.5,0,0,29,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,"Sunday Paper, Radio",54.36
10452,Carbonated Beverages,Beverages,Drink,8.76,3.066,4,High Roller Savings,Mexico,S,M,3,Bachelors Degree,Bronze,Professional,N,4,$50K - $70K,0,4,Washington,2.19,6.66,4.65,1,0,7,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,Product Attachment,121.93
10453,Drinks,Beverages,Drink,9.12,3.9216,4,Dollar Cutters,USA,M,F,1,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,1,2,Skinner,2.28,21.8,19.7,0,0,24,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Sunday Paper, Radio, TV",135.5
10454,Canned Oysters,Canned Foods,Food,4.42,2.1658,2,Three for One,Mexico,S,F,2,Graduate Degree,Bronze,Professional,Y,2,$70K - $90K,0,2,Blue Label,2.21,18.2,16.2,0,1,23,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,"Sunday Paper, Radio",131.62
10455,Fruit,Produce,Food,8.07,3.4701,3,Sales Galore,USA,M,M,5,Partial High School,Golden,Professional,Y,3,$70K - $90K,3,3,Tri-State,2.69,13.1,11.1,0,0,15,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,TV,106.16
10456,Meat,Deli,Food,2.86,1.3156,2,Sales Days,USA,S,F,0,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,0,1,Lake,1.43,12.8,9.8,0,1,25,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Bulk Mail,116.74
10457,Candles,Household,Non-Consumable,1.68,0.672,3,Price Winners,USA,M,F,5,High School Degree,Golden,Management,N,4,$150K +,2,4,Sunset,0.56,12.2,9.19,1,0,36,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,"Sunday Paper, Radio",122.51
10458,Carbonated Beverages,Beverages,Drink,3.93,1.2969,3,Green Light Days,USA,S,M,3,High School Degree,Bronze,Skilled Manual,Y,3,$30K - $50K,0,3,Excellent,1.31,7.28,5.28,1,0,22,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Cash Register Handout,139.19
10459,Snack Foods,Snack Foods,Food,4.53,1.7214,3,Weekend Markdown,USA,M,F,3,High School Degree,Bronze,Manual,Y,1,$30K - $50K,0,1,Fast,1.51,6.84,3.84,0,1,35,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Daily Paper,140.57
10460,Snack Foods,Snack Foods,Food,6.58,2.4346,2,Two for One,USA,S,M,2,Partial College,Bronze,Management,N,2,$30K - $50K,0,2,Fort West,3.29,12.1,10.1,0,0,16,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Daily Paper, Radio, TV",57.52
10461,Magazines,Periodicals,Non-Consumable,8.55,3.591,3,One Day Sale,USA,S,F,0,Bachelors Degree,Bronze,Professional,Y,2,$70K - $90K,0,2,Dollar,2.85,14.1,12.1,1,0,33,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,"Daily Paper, Radio, TV",131.75
10462,Baking Goods,Baking Goods,Food,3.56,1.3528,2,Green Light Special,USA,M,M,3,High School Degree,Golden,Skilled Manual,Y,2,$30K - $50K,3,2,BBB Best,1.78,14.3,12.3,1,0,24,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,In-Store Coupon,123.02
10463,Vegetables,Frozen Foods,Food,4.71,1.884,3,Go For It,Mexico,S,M,5,High School Degree,Bronze,Skilled Manual,N,4,$30K - $50K,0,4,PigTail,1.57,7.77,5.76,0,1,26,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Bulk Mail,87.07
10464,Baking Goods,Baking Goods,Food,8.82,4.2336,3,Unbeatable Price Savers,USA,M,F,3,Bachelors Degree,Golden,Management,Y,3,$50K - $70K,3,3,Super,2.94,16.8,14.7,1,0,5,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,"Daily Paper, Radio, TV",137.77
10465,Canned Soup,Canned Foods,Food,2.64,0.9768,3,Price Winners,Mexico,S,F,1,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,0,1,Blue Label,0.88,16.5,13.5,1,1,21,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Cash Register Handout,103.9
10466,Plastic Products,Household,Non-Consumable,8.94,3.7548,3,Price Destroyers,Mexico,S,F,1,Bachelors Degree,Bronze,Professional,N,3,$50K - $70K,0,3,Cormorant,2.98,15.6,13.6,1,0,6,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,Cash Register Handout,148.62
10467,Jams and Jellies,Baking Goods,Food,10.8,5.184,4,Go For It,Mexico,S,F,1,Partial High School,Normal,Manual,N,1,$10K - $30K,0,1,CDR,2.7,21.4,20.3,1,0,10,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Bulk Mail,87.07
10468,Paper Products,Household,Non-Consumable,9.8,4.704,4,Super Savers,USA,M,F,2,Bachelors Degree,Bronze,Management,Y,1,$50K - $70K,0,1,Cormorant,2.45,6.11,4.11,1,0,29,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,"Sunday Paper, Radio",64.76
10469,Dairy,Dairy,Food,3.81,1.4478,3,Saving Days,USA,M,F,2,Bachelors Degree,Bronze,Professional,N,2,$70K - $90K,0,2,Even Better,1.27,19.7,17.7,0,0,20,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,"Daily Paper, Radio",118.36
10470,Jams and Jellies,Baking Goods,Food,7.4,3.7,5,Wallet Savers,USA,S,F,3,Bachelors Degree,Bronze,Management,Y,1,$50K - $70K,0,1,BBB Best,1.48,7.65,4.65,1,0,5,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Sunday Paper, Radio, TV",79.95
10471,Dairy,Dairy,Food,9.44,2.9264,4,Price Destroyers,USA,S,F,2,High School Degree,Bronze,Professional,Y,2,$90K - $110K,0,2,Carlson,2.36,8.79,5.78,1,0,33,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Sunday Paper,121.44
10472,Snack Foods,Snack Foods,Food,6.16,2.464,4,Price Savers,USA,S,M,2,High School Degree,Bronze,Professional,N,2,$70K - $90K,0,2,Horatio,1.54,8.44,5.43,0,1,16,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,Product Attachment,62.27
10473,Meat,Deli,Food,1.92,0.6336,3,One Day Sale,Mexico,S,M,0,Partial High School,Silver,Professional,Y,2,$150K +,0,2,Lake,0.64,7.79,5.78,1,1,8,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,TV,68.91
10474,Electrical,Household,Non-Consumable,10.53,4.4226,3,Price Smashers,Canada,S,M,4,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,0,2,High Quality,3.51,21.6,20.6,0,0,28,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Street Handout,95.45
10475,Bread,Baked Goods,Food,4.26,1.278,3,Save-It Sale,USA,S,F,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,4,Colony,1.42,18.9,16.8,1,0,2,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Sunday Paper,139.37
10476,Baking Goods,Baking Goods,Food,7.6,2.66,5,Two for One,USA,M,M,3,Bachelors Degree,Golden,Professional,Y,4,$110K - $130K,3,4,CDR,1.52,17.9,16.8,0,0,19,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Daily Paper, Radio, TV",57.52
10477,Side Dishes,Deli,Food,0.97,0.291,1,Pick Your Savings,USA,M,M,2,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,1,4,Red Spade,0.97,8.83,6.82,0,0,6,Small Grocery,San Francisco,CA,22478,15321,4294,2863,1,0,0,0,0,Daily Paper,57.51
10478,Carbonated Beverages,Beverages,Drink,5.24,2.2008,4,Super Savers,Mexico,M,F,3,Partial High School,Bronze,Manual,Y,1,$50K - $70K,1,1,Excellent,1.31,7.28,5.28,1,0,22,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,"Daily Paper, Radio",101.61
10479,Canned Oysters,Canned Foods,Food,8.48,3.816,4,One Day Sale,Mexico,M,M,5,High School Degree,Golden,Skilled Manual,N,4,$30K - $50K,5,4,Bravo,2.12,19.8,18.7,0,1,2,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Street Handout,146.72
10480,Snack Foods,Snack Foods,Food,9.44,3.304,4,Sales Days,Mexico,S,F,5,Bachelors Degree,Bronze,Professional,N,4,$50K - $70K,0,4,Fort West,2.36,6.68,4.67,0,1,7,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,"Daily Paper, Radio, TV",116.4
